# Source: https://github.com/carltonnorthern/nicknames (Apache-2.0)
# Format: canonical,variant (English given-name nickname pairs).
# One pair per line; loader is shared/seed/nicknames.js.
canonical,variant
Aaron,Erin
Aaron,Ron
Aaron,Ronnie
Abbigail,Abbe
Abbigail,Abbey
Abbigail,Abbi
Abbigail,Abbie
Abbigail,Abby
Abbigail,Gail
Abbigail,Nabby
Abbigale,Abbe
Abbigale,Abbey
Abbigale,Abbi
Abbigale,Abbie
Abbigale,Abby
Abbigale,Gail
Abbigale,Nabby
Abednego,Bedney
Abel,Ab
Abel,Abe
Abel,Eb
Abel,Ebbie
Abiel,Ab
Abigail,Abbe
Abigail,Abbey
Abigail,Abbi
Abigail,Abbie
Abigail,Abby
Abigail,Gail
Abigail,Nabby
Abigale,Abbe
Abigale,Abbey
Abigale,Abbi
Abigale,Abbie
Abigale,Abby
Abigale,Gail
Abigale,Nabby
Abijah,Ab
Abijah,Bige
Abner,Ab
Abraham,Ab
Abraham,Abe
Abram,Ab
Abram,Abe
Absalom,Ab
Absalom,Abbie
Absalom,App
Ada,Addy
Ada,Adie
Adaline,Ada
Adaline,Addy
Adaline,Adie
Adaline,Delia
Adaline,Dell
Adaline,Lena
Addison,Addie
Addison,Addy
Adela,Adie
Adela,Della
Adelaide,Addy
Adelaide,Adele
Adelaide,Adie
Adelaide,Dell
Adelaide,Della
Adelaide,Heidi
Adelbert,Albert
Adelbert,Bert
Adelbert,Del
Adelbert,Delbert
Adele,Addy
Adele,Dell
Adeline,Ada
Adeline,Addy
Adeline,Delia
Adeline,Dell
Adeline,Lena
Adelphia,Addy
Adelphia,Adele
Adelphia,Dell
Adelphia,Delphia
Adelphia,Philly
Adena,Adina
Adena,Deena
Adena,Dena
Adena,Dina
Adolphus,Ado
Adolphus,Adolph
Adolphus,Dolph
Adrian,Rian
Adriane,Riane
Adrienne,Addie
Adrienne,Enne
Adrienne,Rienne
Agatha,Aga
Agatha,Aggy
Agnes,Aggy
Agnes,Inez
Agnes,Nessa
Aileen,Allie
Aileen,Lena
Alan,Al
Alanson,Al
Alanson,Lanson
Alastair,Al
Alazama,Ali
Albert,Al
Albert,Bert
Alberta,Allie
Alberta,Bert
Alberta,Bertie
Aldo,Al
Aldrich,Rich
Aldrich,Riche
Aldrich,Richie
Aleksandr,Alek
Aleksandr,Alex
Aleva,Leve
Aleva,Levy
Alex,Al
Alexa,Alex
Alexa,Lexi
Alexander,Al
Alexander,Alec
Alexander,Alex
Alexander,Sandy
Alexandra,Alex
Alexandra,Alla
Alexandra,Sandra
Alexandra,Sandy
Alexandria,Alex
Alexandria,Alexander
Alexandria,Alla
Alexandria,Drina
Alexandria,Sandra
Alexis,Alex
Alexis,Lexi
Alfonse,Al
Alfred,Al
Alfred,Fred
Alfred,Freddy
Alfreda,Alfy
Alfreda,Freda
Alfreda,Freddy
Alfreda,Frieda
Algernon,Algy
Alice,Allie
Alice,Elsie
Alice,Lisa
Alicia,Allie
Alicia,Elsie
Alicia,Lisa
Aline,Adeline
Alison,Ali
Alison,Allie
Alixandra,Alix
Allan,Al
Allan,Alan
Allan,Allen
Allen,Al
Allen,Alan
Allen,Allan
Allisandra,Ali
Allisandra,Allie
Allisandra,Ally
Allison,Ali
Allison,Allie
Allison,Ally
Allyson,Ali
Allyson,Allie
Allyson,Ally
Allyssa,Ali
Allyssa,Allie
Allyssa,Ally
Almena,Ali
Almena,Allie
Almena,Ally
Almena,Mena
Almina,Minnie
Almira,Myra
Alonzo,Al
Alonzo,Lon
Alonzo,Lonzo
Alphinias,Alphus
Althea,Ally
Alverta,Vert
Alverta,Virdie
Alyssa,Al
Alyssa,Ally
Alyssa,Lissia
Alzada,Zada
Amanda,Manda
Amanda,Mandy
Ambrose,Brose
Amelia,Amy
Amelia,Emily
Amelia,Mel
Amelia,Millie
Amos,Moses
Anastasia,Ana
Anastasia,Stacy
Anderson,Andy
Andre,Drea
Andrea,Andi
Andrea,Andrew
Andrea,Andy
Andrea,Drea
Andrea,Rea
Andrew,Andy
Andrew,Drew
Andrew,Randy
Andriane,Ada
Andriane,Adri
Andriane,Rienne
Angela,Angel
Angela,Angie
Angelica,Angel
Angelica,Angelika
Angelica,Angelique
Angelica,Angie
Angelina,Angel
Angelina,Angie
Angelina,Lina
Ann,Annie
Ann,Nan
Anna,Ann
Anna,Anne
Anna,Annie
Anna,Nan
Anne,Ann
Anne,Annie
Anne,Nan
Annette,Anna
Annette,Nettie
Annie,Ann
Annie,Anna
Anselm,Ance
Anselm,Anse
Anselm,Ansel
Anselm,Selma
Anthony,Ant
Anthony,Tony
Antoinette,Ann
Antoinette,Netta
Antoinette,Tony
Antonia,Ann
Antonia,Netta
Antonia,Tony
Antonio,Ant
Antonio,Tony
Appoline,Appie
Appoline,Appy
Aquilla,Quil
Aquilla,Quillie
Ara,Arry
Ara,Belle
Arabella,Ara
Arabella,Arry
Arabella,Bella
Arabella,Belle
Arabelle,Ara
Arabelle,Arry
Arabelle,Bella
Arabelle,Belle
Araminta,Armida
Araminta,Middie
Araminta,Minty
Araminta,Ruminta
Archibald,Archie
Archilles,Kill
Archilles,Killis
Ariadne,Ari
Ariadne,Arie
Ariana,Ari
Arianna,Ari
Ariel,Ari
Arielle,Arie
Aristotle,Telly
Arizona,Ona
Arizona,Onie
Arlene,Arly
Arlene,Lena
Armanda,Mandy
Armena,Arry
Armena,Mena
Armilda,Milly
Arminda,Mindie
Arminta,Minite
Arminta,Minnie
Arnold,Arnie
Aron,Erin
Aron,Ron
Aron,Ronnie
Artelepsa,Epsey
Artemus,Art
Arthur,Art
Arthusa,Thursa
Arzada,Zaddi
Asahel,Asa
Asaph,Asa
Asenath,Assene
Asenath,Natty
Asenath,Sene
Ashley,Ash
Ashley,Ashly
Ashley,Leah
Ashley,Lee
Aubrey,Bree
Audrey,Audree
Audrey,Dee
August,Gus
Augusta,Aggy
Augusta,Gatsy
Augusta,Gussie
Augusta,Tina
Augustina,Aggy
Augustina,Gatsy
Augustina,Gussie
Augustina,Tina
Augustine,August
Augustine,Austin
Augustine,Gus
Augustus,August
Augustus,Austin
Augustus,Gus
Aurelia,Aurilla
Aurelia,Ora
Aurelia,Orilla
Aurelia,Ree
Aurelia,Rilly
Aurora,Rory
Avarilla,Rilla
Axel,Ax
Azariah,Aze
Azariah,Riah
Bab,Barby
Babs,Bab
Babs,Barbara
Babs,Barby
Barbara,Bab
Barbara,Babs
Barbara,Barbie
Barbara,Barby
Barbara,Bobbie
Barbery,Barbara
Barbie,Barbara
Barnabas,Barney
Barney,Barnabas
Barrett,Barry
Bart,Bartholomew
Bartholomew,Bart
Bartholomew,Bartel
Bartholomew,Bat
Bartholomew,Mees
Bartholomew,Meus
Barticus,Bart
Bazaleel,Basil
Bea,Beatrice
Beatrice,Bea
Beatrice,Trisha
Beatrice,Trix
Beatrice,Trixie
Becca,Beck
Beck,Becky
Bedelia,Bridgit
Bedelia,Delia
Belinda,Belle
Belinda,Linda
Bella,Arabella
Bella,Belle
Bella,Isabella
Ben,Benji
Ben,Bennie
Ben,Benny
Benedict,Ben
Benedict,Bennie
Benjamin,Ben
Benjamin,Benjy
Benjamin,Bennie
Benjamin,Benny
Benjamin,Jamie
Benjy,Benjamin
Bennett,Ben
Bennett,Bennie
Bennett,Benny
Bernard,Barney
Bernard,Berney
Bernard,Bernie
Bernard,Berny
Berney,Bernie
Bert,Bertie
Bert,Bob
Bert,Bobby
Bertha,Bert
Bertha,Bertie
Bertha,Birdie
Bertram,Bert
Bertrand,Randy
Bess,Bessie
Bessie,Bess
Beth,Betsy
Beth,Betty
Beth,Elizabeth
Bethena,Beth
Bethena,Thaney
Beverly,Bev
Bezaleel,Zeely
Biddie,Biddy
Bill,Billy
Bill,Fred
Bill,Robert
Bill,William
Bill,Willie
Billy,Fred
Billy,Robert
Billy,William
Blanche,Bea
Bob,Rob
Bob,Robert
Bobby,Bob
Bobby,Rob
Boetius,Bo
Brad,Bradford
Brad,Ford
Bradford,Brad
Bradford,Ford
Bradley,Brad
Brady,Brody
Breanna,Bree
Breanna,Bri
Breeanna,Bree
Brenda,Brandy
Brian,Bryan
Brian,Bryant
Briana,Bri
Brianna,Bri
Bridget,Biddie
Bridget,Biddy
Bridget,Bridgie
Bridget,Bridie
Brittany,Britt
Brittany,Brittnie
Brittney,Britt
Brittney,Brittnie
Broderick,Brady
Broderick,Brody
Broderick,Rick
Broderick,Ricky
Broderick,Rod
Brooklyn,Brook
Brooklyn,Brooke
Bryanna,Ana
Bryanna,Anna
Bryanna,Bri
Bryanna,Briana
Bryanna,Brianna
Bryant,Bry
Bryant,Bryan
Caitlin,Cait
Caitlin,Caity
Caitlyn,Cait
Caitlyn,Caity
Caldonia,Calliedona
Caleb,Cal
California,Callie
Calista,Kissy
Callie,Cal
Calpurnia,Cally
Calvin,Cal
Calvin,Vin
Calvin,Vinny
Cameron,Cam
Cameron,Ron
Cameron,Ronny
Camila,Cami
Camila,Mila
Camile,Cammie
Camille,Cammie
Camille,Millie
Campbell,Cam
Candace,Candy
Candace,Dacey
Carla,Carly
Carla,Karla
Carlotta,Lottie
Carlton,Carl
Carmellia,Mellia
Carmelo,Melo
Carmon,Cammie
Carmon,Carm
Carmon,Charm
Carol,Carolann
Carol,Carole
Carol,Caroline
Carol,Carri
Carol,Carrie
Carol,Cassie
Carol,Kara
Carol,Kari
Carol,Lynn
Carolann,Carol
Carolann,Carole
Caroline,Carol
Caroline,Carole
Caroline,Carrie
Caroline,Cassie
Caroline,Lynn
Carolyn,Carrie
Carolyn,Cassie
Carolyn,Lynn
Carrie,Cassie
Carthaette,Etta
Carthaette,Etty
Casey,K.c.
Casper,Jasper
Cassandra,Cassie
Cassandra,Sandra
Cassandra,Sandy
Cassidy,Cass
Cassidy,Cassie
Cassie,Cass
Caswell,Cass
Catherine,Casey
Catherine,Cassie
Catherine,Cathy
Catherine,Kathy
Catherine,Katy
Catherine,Kay
Catherine,Kit
Catherine,Kittie
Catherine,Lena
Catherine,Trina
Cathleen,Casey
Cathleen,Cassie
Cathleen,Cathy
Cathleen,Kathy
Cathleen,Katy
Cathleen,Kay
Cathleen,Kit
Cathleen,Kittie
Cathleen,Lena
Cathleen,Trina
Cathy,Catherine
Cathy,Cathleen
Cathy,Kathy
Cecilia,Celia
Cecilia,Cissy
Cedric,Ced
Cedric,Rick
Cedric,Ricky
Celeste,Celia
Celeste,Lessie
Celinda,Linda
Celinda,Lindy
Celinda,Lynn
Charity,Chat
Charles,Carl
Charles,Charlie
Charles,Chick
Charles,Chuck
Charlie,Charles
Charlie,Chuck
Charlotte,Char
Charlotte,Lotta
Charlotte,Lottie
Charlotte,Sherry
Chauncey,Chan
Chelsea,Chels
Chelsea,Chelsie
Chelsey,Chelsie
Cheryl,Cher
Chesley,Chet
Chester,Chet
Chet,Chester
Chick,Caroline
Chick,Charlotte
Chick,Chuck
Chloe,Clo
Chris,Kris
Christa,Chris
Christian,Chris
Christian,Kit
Christiana,Ann
Christiana,Chris
Christiana,Christy
Christiana,Crissy
Christiana,Kris
Christiana,Kristy
Christiana,Tina
Christiano,Chris
Christina,Chris
Christina,Chrissy
Christina,Christy
Christina,Crissy
Christina,Kris
Christina,Kristy
Christina,Tina
Christine,Chris
Christine,Chrissy
Christine,Christy
Christine,Crissy
Christine,Kris
Christine,Kristy
Christine,Tina
Christoffer,Chris
Christoph,Chris
Christopher,Chris
Christopher,Kit
Christy,Crissy
Cicely,Cilla
Cinderella,Arilla
Cinderella,Cindy
Cinderella,Rella
Cinderella,Rilla
Cindy,Cinderella
Claire,Clair
Claire,Clara
Claire,Clare
Clara,Clarissa
Clare,Clara
Clarence,Clair
Clarence,Clare
Clarinda,Clara
Clarissa,Cissy
Clarissa,Clara
Claudia,Claud
Cleatus,Cleat
Clement,Clem
Clementine,Clem
Clementine,Clement
Cliff,Clifford
Clifford,Cliff
Clifford,Ford
Clifton,Cliff
Clifton,Tony
Cole,Colie
Colton,Colt
Columbus,Clum
Con,Conny
Conrad,Con
Conrad,Conny
Constance,Connie
Cooper,Coop
Cordelia,Cordy
Cordelia,Delia
Corey,Coco
Corey,Cordy
Corey,Ree
Corinne,Cora
Corinne,Ora
Cornelia,Cornie
Cornelia,Corny
Cornelia,Nelia
Cornelia,Nelle
Cornelia,Nelly
Cornelius,Con
Cornelius,Conny
Cornelius,Corny
Cornelius,Neil
Cornelius,Niel
Cory,Coco
Cory,Cordy
Cory,Ree
Courtney,Court
Courtney,Curt
Crystal,Chris
Crystal,Crys
Crystal,Stal
Crystal,Tal
Curtis,Curt
Cynthia,Cindy
Cynthia,Cintha
Cyrenius,Cene
Cyrenius,Cy
Cyrenius,Renius
Cyrenius,Serene
Cyrenius,Swene
Cyrus,Cy
Dahl,Dal
Dalton,Dahl
Dalton,Dal
Dan,Danny
Daniel,Dan
Daniel,Dann
Daniel,Danny
Danielle,Dani
Danielle,Ellie
Danny,Daniel
Daphne,Daph
Daphne,Daphie
Darlene,Darry
Darlene,Lena
Dave,Davey
David,Dave
David,Davey
David,Day
Daycia,Dacia
Daycia,Daisha
Deanna,Dee
Deanna,Deedee
Deanne,Ann
Deanne,Dee
Debbie,Deb
Debbie,Debby
Debbie,Deborah
Debbie,Debra
Debby,Deb
